Name,Birth Date,Birth Date(Date Time),Birth Place,Death Date,Death Date(Date Time),Death Place,URL,Age
 Gabourey Sidibe,1983-5-6,1983-05-06,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm2829737,38
 Judy Davis,1955-4-23,1955-04-23,"Perth, Western Australia, Australia",,,,https://www.imdb.com//name/nm0001114,66
 Mia Farrow,1945-2-9,1945-02-09,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0001201,76
 Audrey Tautou,1976-8-9,1976-08-09,"Beaumont, Puy-de-Dôme, France",,,,https://www.imdb.com//name/nm0851582,44
 Jeanne Moreau,1928-1-23,1928-01-23,"Paris, France",2017-7-31,2017-07-31,"Paris, France",https://www.imdb.com//name/nm0603402,89
 Jane Wyman,1917-1-5,1917-01-05,"St. Joseph, Missouri, USA",2007-9-10,2007-09-10,"Palm Springs, California, USA",https://www.imdb.com//name/nm0943837,90
 Gena Rowlands,1930-6-19,1930-06-19,"Madison, Wisconsin, USA",,,,https://www.imdb.com//name/nm0001687,91
 Lesley Manville,1956-3-12,1956-03-12,"Brighton, East Sussex, England, UK",,,,https://www.imdb.com//name/nm0544334,65
 Elizabeth Olsen,1989-2-16,1989-02-16,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0647634,32
 Nastassja Kinski,1961-1-24,1961-01-24,"Berlin, Germany",,,,https://www.imdb.com//name/nm0000176,60
 Mélanie Laurent,1983-2-21,1983-02-21,"Paris, France",,,,https://www.imdb.com//name/nm0491259,38
 Whitney Houston,1963-8-9,1963-08-09,"Newark, New Jersey, USA",2012-2-11,2012-02-11,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0001365,48
 Felicity Huffman,1962-12-9,1962-12-09,"Bedford, New York, USA",,,,https://www.imdb.com//name/nm0005031,58
 Imelda Staunton,1956-1-9,1956-01-09,"Archway, London, England, UK",,,,https://www.imdb.com//name/nm0001767,65
 Oscar Isaac,1979-3-9,1979-03-09,"Guatemala City, Guatemala",,,,https://www.imdb.com//name/nm1209966,42
 Jon Heder,1977-10-26,1977-10-26,"Fort Collins, Colorado, USA",,,,https://www.imdb.com//name/nm1417647,43
 Miles Teller,1987-2-20,1987-02-20,"Downingtown, Pennsylvania, USA",,,,https://www.imdb.com//name/nm1886602,34
 Daniel Brühl,1978-6-16,1978-06-16,"Barcelona, Barcelona, Catalonia, Spain",,,,https://www.imdb.com//name/nm0117709,43
 James Gandolfini,1961-9-18,1961-09-18,"Westwood, New Jersey, USA",2013-6-19,2013-06-19,"Rome, Lazio, Italy",https://www.imdb.com//name/nm0001254,51
 Michael B. Jordan,1987-2-9,1987-02-09,"Santa Ana, California, USA",,,,https://www.imdb.com//name/nm0430107,34
 Anthony Perkins,1932-4-4,1932-04-04,"New York City, New York, USA",1992-9-12,1992-09-12,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0000578,60
 David Thewlis,1963-3-20,1963-03-20,"Blackpool, Lancashire, England, UK",,,,https://www.imdb.com//name/nm0000667,58
 Klaus Kinski,1926-10-18,1926-10-18,"Zoppot, Free City of Danzig [now Sopot, Pomorskie, Poland]",1991-11-23,1991-11-23,"Lagunitas, California, USA",https://www.imdb.com//name/nm0001428,65
 Malcolm McDowell,1943-6-13,1943-06-13,"Horsforth, Yorkshire, England, UK",,,,https://www.imdb.com//name/nm0000532,78
 Ray Winstone,1957-2-19,1957-02-19,"Hackney, London, England, UK",,,,https://www.imdb.com//name/nm0935653,64
 Jean-Paul Belmondo,1933-4-9,1933-04-09,"Neuilly-sur-Seine, Seine [now Hauts-de-Seine, Île-de-France], France",,,,https://www.imdb.com//name/nm0000901,88
 Andy Serkis,1964-4-20,1964-04-20,"Ruislip, London, England, UK",,,,https://www.imdb.com//name/nm0785227,57
 Matthew Broderick,1962-3-21,1962-03-21,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000111,59
 Dennis Hopper,1936-5-17,1936-05-17,"Dodge City, Kansas, USA",2010-5-29,2010-05-29,"Venice Beach, California, USA",https://www.imdb.com//name/nm0000454,74
 Michael Rooker,1955-4-6,1955-04-06,"Jasper, Alabama, USA",,,,https://www.imdb.com//name/nm0740264,66
 Vincent Gallo,1961-4-11,1961-04-11,"Buffalo, New York, USA",,,,https://www.imdb.com//name/nm0001252,60
 Kevin Spacey,1959-7-26,1959-07-26,"South Orange, New Jersey, USA",,,,https://www.imdb.com//name/nm0000228,62
 Vincent Cassel,1966-11-23,1966-11-23,"Paris, France",,,,https://www.imdb.com//name/nm0001993,54
 J.K. Simmons,1955-1-9,1955-01-09,"Grosse Pointe, Michigan, USA",,,,https://www.imdb.com//name/nm0799777,66
 Boris Karloff,1887-11-23,1887-11-23,"Camberwell, London, England, UK",1969-2-2,1969-02-02,"Midhurst, Sussex, England, UK",https://www.imdb.com//name/nm0000472,81
 Peter Lorre,1904-6-26,1904-06-26,"Rózsahegy, Austria-Hungary [now Ruzomberok, Slovakia]",1964-3-23,1964-03-23,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000048,59
 Matthew McConaughey,1969-11-4,1969-11-04,"Uvalde, Texas, USA",,,,https://www.imdb.com//name/nm0000190,51
 Paddy Considine,1973-9-5,1973-09-05,"Burton-on-Trent, Staffordshire, England, UK",,,,https://www.imdb.com//name/nm0175916,47
 Ryan Phillippe,1974-9-10,1974-09-10,"New Castle, Delaware, USA",,,,https://www.imdb.com//name/nm0000202,46
 Kerry Washington,1977-1-31,1977-01-31,"The Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm0913488,44
 Carrie-Anne Moss,1967-8-21,1967-08-21,"Vancouver, British Columbia, Canada",,,,https://www.imdb.com//name/nm0005251,53
 Janet Leigh,1927-7-6,1927-07-06,"Merced, California, USA",2004-10-3,2004-10-03,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0001463,77
 Catalina Sandino Moreno,1981-4-19,1981-04-19,"Bogotá, Colombia",,,,https://www.imdb.com//name/nm1503432,40
 Samantha Morton,1977-5-13,1977-05-13,"Nottingham, Nottinghamshire, England, UK",,,,https://www.imdb.com//name/nm0608090,44
 Keisha Castle-Hughes,1990-3-24,1990-03-24,"Donnybrook, Western Australia, Australia",,,,https://www.imdb.com//name/nm1095720,31
 Barbara Stanwyck,1907-7-16,1907-07-16,"Brooklyn, New York City, New York, USA",1990-1-20,1990-01-20,"Santa Monica, California, USA",https://www.imdb.com//name/nm0001766,82
 Joan Allen,1956-8-20,1956-08-20,"Rochelle, Illinois, USA",,,,https://www.imdb.com//name/nm0000260,64
 Janet McTeer,1961-8-5,1961-08-05,"Newcastle, Tyne and Wear, England, UK",,,,https://www.imdb.com//name/nm0005216,59
 Fernanda Montenegro,1929-10-16,1929-10-16,"Rio de Janeiro, Rio de Janeiro, Brazil",,,,https://www.imdb.com//name/nm0005244,91
 Kristin Scott Thomas,1960-5-24,1960-05-24,"Redruth, Cornwall, England, UK",,,,https://www.imdb.com//name/nm0000218,61
 Brenda Blethyn,1946-2-20,1946-02-20,"Ramsgate, Kent, England, UK",,,,https://www.imdb.com//name/nm0000950,75
 Elisabeth Shue,1963-10-6,1963-10-06,"Wilmington, Delaware, USA",,,,https://www.imdb.com//name/nm0000223,57
 Miranda Richardson,1958-3-3,1958-03-03,"Southport, Lancashire, England, UK",,,,https://www.imdb.com//name/nm0001669,63
 Stockard Channing,1944-2-13,1944-02-13,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000330,77
 Luise Rainer,1910-1-12,1910-01-12,"Düsseldorf, Germany",2014-12-30,2014-12-30,"Belgravia, London, England, UK",https://www.imdb.com//name/nm0707023,104
 Mary McDonnell,1952-4-28,1952-04-28,"Wilkes-Barre, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0001521,69
 Lucille Ball,1911-8-6,1911-08-06,"Jamestown, New York, USA",1989-4-26,1989-04-26,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0000840,77
 Laura Dern,1967-2-10,1967-02-10,"Saint John's Health Center, Santa Monica, Los Angeles County, California, USA",,,,https://www.imdb.com//name/nm0000368,54
 Pauline Collins,1940-9-3,1940-09-03,"Exmouth, Devon, England, UK",,,,https://www.imdb.com//name/nm0172604,80
 Isabelle Adjani,1955-6-27,1955-06-27,"Paris, France",,,,https://www.imdb.com//name/nm0000254,66
 Melanie Griffith,1957-8-9,1957-08-09,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000429,63
 Sally Kirkland,1941-10-31,1941-10-31,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000476,79
 Jane Alexander,1939-10-28,1939-10-28,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000737,81
 Marsha Mason,1942-4-3,1942-04-03,"St. Louis, Missouri, USA",,,,https://www.imdb.com//name/nm0556850,79
 Freddie Highmore,1992-2-14,1992-02-14,"Camden Town, London, England, UK",,,,https://www.imdb.com//name/nm0383603,29
 Michael J. Fox,1961-6-9,1961-06-09,"Edmonton, Alberta, Canada",,,,https://www.imdb.com//name/nm0000150,60
 John Travolta,1954-2-18,1954-02-18,"Englewood, New Jersey, USA",,,,https://www.imdb.com//name/nm0000237,67
 Chow Yun-Fat,1955-5-18,1955-05-18,"Lamma Island, Hong Kong",,,,https://www.imdb.com//name/nm0000334,66
 Seth MacFarlane,1973-10-26,1973-10-26,"Kent, Connecticut, USA",,,,https://www.imdb.com//name/nm0532235,47
 Jet Li,1963-4-26,1963-04-26,"Beijing, China",,,,https://www.imdb.com//name/nm0001472,58
 John Houseman,1902-9-22,1902-09-22,"Bucharest, Romania",1988-10-31,1988-10-31,"Malibu, California, USA",https://www.imdb.com//name/nm0002144,86
 Chuck Norris,1940-3-10,1940-03-10,"Ryan, Oklahoma, USA",,,,https://www.imdb.com//name/nm0001569,81
 Jean-Claude Van Damme,1960-10-18,1960-10-18,"Berchem-Sainte-Agathe, Brussels, Belgium",,,,https://www.imdb.com//name/nm0000241,60
 Sam Rockwell,1968-11-5,1968-11-05,"Daly City, California, USA",,,,https://www.imdb.com//name/nm0005377,52
 Takashi Shimura,1905-3-12,1905-03-12,"Ikuno, Hyogo, Japan",1982-2-11,1982-02-11,"Tokyo, Japan",https://www.imdb.com//name/nm0793766,76
 Richard E. Grant,1957-5-5,1957-05-05,"Mbabane, Hhohho, Eswatini",,,,https://www.imdb.com//name/nm0001290,64
 Leslie Nielsen,1926-2-11,1926-02-11,"Regina, Saskatchewan, Canada",2010-11-28,2010-11-28,"Fort Lauderdale, Florida, USA",https://www.imdb.com//name/nm0000558,84
 Simon Pegg,1970-2-14,1970-02-14,"Gloucester, Gloucestershire, England, UK",,,,https://www.imdb.com//name/nm0670408,51
 John Malkovich,1953-12-9,1953-12-09,"Christopher, Illinois, USA",,,,https://www.imdb.com//name/nm0000518,67
 Michael Shannon,1974-8-7,1974-08-07,"Lexington, Kentucky, USA",,,,https://www.imdb.com//name/nm0788335,46
 Martin Sheen,1940-8-3,1940-08-03,"Dayton, Ohio, USA",,,,https://www.imdb.com//name/nm0000640,80
 Christopher Guest,1948-2-5,1948-02-05,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0001302,73
 Alan Rickman,1946-2-21,1946-02-21,"Hammersmith, London, England, UK",2016-1-14,2016-01-14,"London, England, UK",https://www.imdb.com//name/nm0000614,69
 Jackie Earle Haley,1961-7-14,1961-07-14,"Northridge, California, USA",,,,https://www.imdb.com//name/nm0355097,60
 Gig Young,1913-11-4,1913-11-04,"St. Cloud, Minnesota, USA",1978-10-19,1978-10-19,"New York City, New York, USA",https://www.imdb.com//name/nm0949574,64
 James Spader,1960-2-7,1960-02-07,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000652,61
 Eric Bana,1968-8-9,1968-08-09,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm0051509,52
 Romain Duris,1974-5-28,1974-05-28,"Paris, France",,,,https://www.imdb.com//name/nm0244151,47
 Robert Shaw,1927-8-9,1927-08-09,"Westhoughton, Lancashire, England, UK",1978-8-28,1978-08-28,"Tourmakeady, County Mayo, Ireland",https://www.imdb.com//name/nm0001727,51
 Jacki Weaver,1947-5-25,1947-05-25,"Sydney, New South Wales, Australia",,,,https://www.imdb.com//name/nm0915865,74
 Bérénice Bejo,1976-7-7,1976-07-07,"Buenos Aires, Argentina",,,,https://www.imdb.com//name/nm0067367,45
 Hailee Steinfeld,1996-12-11,1996-12-11,"Tarzana, Los Angeles, California, USA",,,,https://www.imdb.com//name/nm2794962,24
 Jennifer Jason Leigh,1962-2-5,1962-02-05,"Hollywood, Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000492,59
 Kathleen Quinlan,1954-11-19,1954-11-19,"Pasadena, California, USA",,,,https://www.imdb.com//name/nm0000599,66
 Taraji P. Henson,1970-9-11,1970-09-11,"Washington D.C., USA",,,,https://www.imdb.com//name/nm0378245,50
 Amy Ryan,1968-5-3,1968-05-03,"Queens, New York City, New York, USA",,,,https://www.imdb.com//name/nm0752407,53
 Ruby Dee,1922-10-27,1922-10-27,"Cleveland, Ohio, USA",2014-6-11,2014-06-11,"New Rochelle, New York, USA",https://www.imdb.com//name/nm0002039,91
 Jill Clayburgh,1944-4-30,1944-04-30,"New York City, New York, USA",2010-11-5,2010-11-05,"Lakeville, Connecticut, USA",https://www.imdb.com//name/nm0001049,66
 Adriana Barraza,1956-3-5,1956-03-05,"Toluca, Estado de Mexico, Mexico",,,,https://www.imdb.com//name/nm0056770,65
 Rinko Kikuchi,1981-1-6,1981-01-06,"Hadano, Japan",,,,https://www.imdb.com//name/nm0452860,40
 Catherine Keener,1959-3-23,1959-03-23,"Miami, Florida, USA",,,,https://www.imdb.com//name/nm0001416,62
 Charlotte Rampling,1946-2-5,1946-02-05,"Sturmer, Essex, England, UK",,,,https://www.imdb.com//name/nm0001648,75
 Sophie Okonedo,1968-8-11,1968-08-11,"London, England, UK",,,,https://www.imdb.com//name/nm0645683,52
 Patricia Clarkson,1959-12-29,1959-12-29,"New Orleans, Louisiana, USA",,,,https://www.imdb.com//name/nm0165101,61
 Shohreh Aghdashloo,1952-5-11,1952-05-11,"Tehran, Iran",,,,https://www.imdb.com//name/nm0013037,69
 Lindsay Lohan,1986-7-2,1986-07-02,"The Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm0517820,35
 Michelle Trachtenberg,1985-10-11,1985-10-11,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0005502,35
 Chloë Sevigny,1974-11-18,1974-11-18,"Springfield, Massachusetts, USA",,,,https://www.imdb.com//name/nm0001721,46
 Lynn Redgrave,1943-3-8,1943-03-08,"Marylebone, London, England, UK",2010-5-2,2010-05-02,"Kent, Connecticut, USA",https://www.imdb.com//name/nm0001655,67
 Rachel Griffiths,1968-12-18,1968-12-18,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm0341737,52
 Margot Robbie,1990-7-2,1990-07-02,"Dalby, Queensland, Australia",,,,https://www.imdb.com//name/nm3053338,31
 Lili Taylor,1967-2-20,1967-02-20,"Glencoe, Illinois, USA",,,,https://www.imdb.com//name/nm0000666,54
 Robin Weigert,1969-7-7,1969-07-07,"Washington, District of Columbia, USA",,,,https://www.imdb.com//name/nm0917848,52
 Lake Bell,1979-3-24,1979-03-24,"New York City, New York, USA",,,,https://www.imdb.com//name/nm1128572,42
 Claude Rains,1889-11-10,1889-11-10,"Clapham, London, England, UK",1967-5-30,1967-05-30,"Laconia, New Hampshire, USA",https://www.imdb.com//name/nm0001647,77
 Steve Buscemi,1957-12-13,1957-12-13,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000114,63
 John Rhys-Davies,1944-5-5,1944-05-05,"Ammanford, Wales, UK",,,,https://www.imdb.com//name/nm0722636,77
 Jean-Louis Trintignant,1930-12-11,1930-12-11,"Piolenc, Vaucluse, France",,,,https://www.imdb.com//name/nm0004462,90
 Joseph Cotten,1905-5-15,1905-05-15,"Petersburg, Virginia, USA",1994-2-6,1994-02-06,"Westwood, Los Angeles, California, USA",https://www.imdb.com//name/nm0001072,88
 Barry Pepper,1970-4-4,1970-04-04,"Campbell River, British Columbia, Canada",,,,https://www.imdb.com//name/nm0001608,51
 Erich von Stroheim,1885-9-22,1885-09-22,"Vienna, Austria-Hungary [now Austria]",1957-5-12,1957-05-12,"Maurepas, Seine-et-Oise [now Yvelines], France",https://www.imdb.com//name/nm0002233,71
 Patrick Wilson,1973-7-3,1973-07-03,"Norfolk, Virginia, USA",,,,https://www.imdb.com//name/nm0933940,48
 Christopher Lloyd,1938-10-22,1938-10-22,"Stamford, Connecticut, USA",,,,https://www.imdb.com//name/nm0000502,82
 Ben Foster,1980-10-29,1980-10-29,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0004936,40
 Joel McCrea,1905-11-5,1905-11-05,"South Pasadena, California, USA",1990-10-20,1990-10-20,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0566948,84
 Choi Min-sik,1962-1-22,1962-01-22,"Seoul, South Korea",,,,https://www.imdb.com//name/nm0158856,59
 Ewan McGregor,1971-3-31,1971-03-31,"Perth, Perthshire, Scotland, UK",,,,https://www.imdb.com//name/nm0000191,50
 Gael García Bernal,1978-11-30,1978-11-30,"Guadalajara, Mexico",,,,https://www.imdb.com//name/nm0305558,42
 Bruno Ganz,1941-3-22,1941-03-22,"Zürich-Seebach, Switzerland",2019-2-16,2019-02-16,"Zürich, Switzerland",https://www.imdb.com//name/nm0004486,77
 Sean Astin,1971-2-25,1971-02-25,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0000276,50
 Irrfan Khan,1967-1-7,1967-01-07,"Jaipur, Rajasthan, India",2020-4-29,2020-04-29,"Mumbai, Maharashtra, India",https://www.imdb.com//name/nm0451234,53
 Michael C. Hall,1971-2-1,1971-02-01,"Raleigh, North Carolina, USA",,,,https://www.imdb.com//name/nm0355910,50
 Roy Scheider,1932-11-10,1932-11-10,"Orange, New Jersey, USA",2008-2-10,2008-02-10,"Little Rock, Arkansas, USA",https://www.imdb.com//name/nm0001702,75
 Casey Affleck,1975-8-12,1975-08-12,"Falmouth, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000729,45
 Gary Busey,1944-6-29,1944-06-29,"Goose Creek, Texas, USA",,,,https://www.imdb.com//name/nm0000997,77
 Norman Reedus,1969-1-6,1969-01-06,"Hollywood, Florida, USA",,,,https://www.imdb.com//name/nm0005342,52
 Jeff Daniels,1955-2-19,1955-02-19,"Athens, Georgia, USA",,,,https://www.imdb.com//name/nm0001099,66
 Stanley Tucci,1960-11-11,1960-11-11,"Peekskill, New York, USA",,,,https://www.imdb.com//name/nm0001804,60
 Kiefer Sutherland,1966-12-21,1966-12-21,"Paddington, London, England, UK",,,,https://www.imdb.com//name/nm0000662,54
 Michelle Yeoh,1962-8-6,1962-08-06,"Ipoh, Perak, Malaysia",,,,https://www.imdb.com//name/nm0000706,58
 Léa Seydoux,1985-7-1,1985-07-01,"Paris, France",,,,https://www.imdb.com//name/nm2244205,36
 Dakota Johnson,1989-10-4,1989-10-04,"Austin, Texas, USA",,,,https://www.imdb.com//name/nm0424848,31
 Julie Delpy,1969-12-21,1969-12-21,"Paris, France",,,,https://www.imdb.com//name/nm0000365,51
 Linda Hamilton,1956-9-26,1956-09-26,"Salisbury, Maryland, USA",,,,https://www.imdb.com//name/nm0000157,64
 Carrie Fisher,1956-10-21,1956-10-21,"Burbank, California, USA",2016-12-27,2016-12-27,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000402,60
 Pam Grier,1949-5-26,1949-05-26,"Winston-Salem, North Carolina, USA",,,,https://www.imdb.com//name/nm0000427,72
 Björk,1965-11-21,1965-11-21,"Reykjavik, Iceland",,,,https://www.imdb.com//name/nm0001951,55
 Emily Browning,1988-12-7,1988-12-07,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm0115161,32
 Juliette Lewis,1973-6-21,1973-06-21,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000496,48
 Sarah Jessica Parker,1965-3-25,1965-03-25,"Nelsonville, Ohio, USA",,,,https://www.imdb.com//name/nm0000572,56
 Piper Laurie,1932-1-22,1932-01-22,"Detroit, Michigan, USA",,,,https://www.imdb.com//name/nm0001453,89
 Miley Cyrus,1992-11-23,1992-11-23,"Franklin, Tennessee, USA",,,,https://www.imdb.com//name/nm1415323,28
 Lily Tomlin,1939-9-1,1939-09-01,"Detroit, Michigan, USA",,,,https://www.imdb.com//name/nm0005499,81
 Jane Seymour,1951-2-15,1951-02-15,"Hayes, Hayes and Harlington, Middlesex, England, UK",,,,https://www.imdb.com//name/nm0005412,70
 Gloria Stuart,1910-7-4,1910-07-04,"Santa Monica, California, USA",2010-9-26,2010-09-26,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001784,100
 Talia Shire,1946-4-25,1946-04-25,"Lake Success, Long Island, New York, USA",,,,https://www.imdb.com//name/nm0001735,75
 Gal Gadot,1985-4-30,1985-04-30,"Rosh Ha'ayin, Israel",,,,https://www.imdb.com//name/nm2933757,36
 Sue Lyon,1946-7-10,1946-07-10,"Davenport, Iowa, USA",2019-12-26,2019-12-26,"Los Angeles, California, USA",https://www.imdb.com//name/nm0528987,73
 Olivia Newton-John,1948-9-26,1948-09-26,"Cambridge, Cambridgeshire, England, UK",,,,https://www.imdb.com//name/nm0000556,72
 Minnie Driver,1970-1-31,1970-01-31,"Middlesex Hospital, London, England, UK",,,,https://www.imdb.com//name/nm0000378,51
 Teri Garr,1947-12-11,1947-12-11,"Lakewood, Ohio, USA",,,,https://www.imdb.com//name/nm0000414,73
 Keri Russell,1976-3-23,1976-03-23,"Fountain Valley, California, USA",,,,https://www.imdb.com//name/nm0005392,45
 Jean Seberg,1938-11-13,1938-11-13,"Marshalltown, Iowa, USA",1979-8-30,1979-08-30,"Paris, France",https://www.imdb.com//name/nm0781029,40
 Sarah Polley,1979-1-8,1979-01-08,"Toronto, Ontario, Canada",,,,https://www.imdb.com//name/nm0001631,42
 Josh Brolin,1968-2-12,1968-02-12,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0000982,53
 Hal Holbrook,1925-2-17,1925-02-17,"Cleveland, Ohio, USA",2021-1-23,2021-01-23,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0001358,95
 Djimon Hounsou,1964-4-24,1964-04-24,"Cotonou, Benin",,,,https://www.imdb.com//name/nm0005023,57
 Matt Dillon,1964-2-18,1964-02-18,"New Rochelle, New York, USA",,,,https://www.imdb.com//name/nm0000369,57
 Alan Alda,1936-1-28,1936-01-28,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000257,85
 Thomas Haden Church,1960-6-17,1960-06-17,"Yolo, California, USA",,,,https://www.imdb.com//name/nm0002006,61
 Clive Owen,1964-10-3,1964-10-03,"Keresley, Coventry, Warwickshire, England, UK",,,,https://www.imdb.com//name/nm0654110,56
 Ken Watanabe,1959-10-21,1959-10-21,"Uonuma, Japan",,,,https://www.imdb.com//name/nm0913822,61
 Suraj Sharma,1993-3-21,1993-03-21,"New Delhi, India",,,,https://www.imdb.com//name/nm4139037,28
 John C. Reilly,1965-5-24,1965-05-24,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000604,56
 Michael Clarke Duncan,1957-12-10,1957-12-10,"Chicago, Illinois, USA",2012-9-3,2012-09-03,"Los Angeles, California, USA",https://www.imdb.com//name/nm0003817,54
 Haley Joel Osment,1988-4-10,1988-04-10,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0005286,33
 Greg Kinnear,1963-6-17,1963-06-17,"Logansport, Indiana, USA",,,,https://www.imdb.com//name/nm0001427,58
 Burt Reynolds,1936-2-11,1936-02-11,"Lansing, Michigan, USA",2018-9-6,2018-09-06,"Jupiter, Florida, USA",https://www.imdb.com//name/nm0000608,82
 Robert Forster,1941-7-13,1941-07-13,"Rochester, New York, USA",2019-10-11,2019-10-11,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001233,78
 Jason Schwartzman,1980-6-26,1980-06-26,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0005403,41
 William H. Macy,1950-3-13,1950-03-13,"Miami, Florida, USA",,,,https://www.imdb.com//name/nm0000513,71
 Armin Mueller-Stahl,1930-12-17,1930-12-17,"Tilsit, East Prussia, Germany [now Sovetsk, Kaliningrad Oblast, Russia]",,,,https://www.imdb.com//name/nm0000090,90
 Tim Roth,1961-5-14,1961-05-14,"Dulwich, London, England, UK",,,,https://www.imdb.com//name/nm0000619,60
 James Cromwell,1940-1-27,1940-01-27,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000342,81
 Chazz Palminteri,1952-5-15,1952-05-15,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0001590,69
 Gary Sinise,1955-3-17,1955-03-17,"Blue Island, Illinois, USA",,,,https://www.imdb.com//name/nm0000641,66
 Paul Scofield,1922-1-21,1922-01-21,"Edgbaston, Birmingham, England, UK",2008-3-19,2008-03-19,"Brighton, Sussex, England, UK",https://www.imdb.com//name/nm0006890,86
 Pete Postlethwaite,1946-2-7,1946-02-07,"Warrington, Lancashire, England, UK",2011-1-2,2011-01-02,"Royal Shrewsbury Hospital, Shrewsbury, Shropshire, England, UK",https://www.imdb.com//name/nm0000592,64
 Hugo Weaving,1960-4-4,1960-04-04,"Ibadan, Nigeria",,,,https://www.imdb.com//name/nm0915989,61
 Jada Pinkett Smith,1971-9-18,1971-09-18,"Baltimore, Maryland, USA",,,,https://www.imdb.com//name/nm0000586,49
 Tatum O'Neal,1963-11-5,1963-11-05,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0001575,57
 Anna Faris,1976-11-29,1976-11-29,"Baltimore, Maryland, USA",,,,https://www.imdb.com//name/nm0267506,44
 Hattie McDaniel,1893-6-10,1893-06-10,"Wichita, Kansas, USA",1952-10-26,1952-10-26,"Woodland Hills, California, USA",https://www.imdb.com//name/nm0567408,59
 Famke Janssen,1964-11-5,1964-11-05,"Amstelveen, Noord-Holland, Netherlands",,,,https://www.imdb.com//name/nm0000463,56
 Rosamund Pike,1979-1-27,1979-01-27,"Hammersmith, London, England, UK",,,,https://www.imdb.com//name/nm0683253,42
 Bonnie Hunt,1961-9-22,1961-09-22,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0001372,59
 Leslie Mann,1972-3-26,1972-03-26,"San Francisco, California, USA",,,,https://www.imdb.com//name/nm0005182,49
 Mindy Kaling,1979-6-24,1979-06-24,"Cambridge, Massachusetts, USA",,,,https://www.imdb.com//name/nm1411676,42
 Thandiwe Newton,1972-11-6,1972-11-06,"Westminster, London, England, UK",,,,https://www.imdb.com//name/nm0628601,48
 Amy Poehler,1971-9-16,1971-09-16,"Burlington, Massachusetts, USA",,,,https://www.imdb.com//name/nm0688132,49
 Amanda Peet,1972-1-11,1972-01-11,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0001605,49
 Julia Stiles,1981-3-28,1981-03-28,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0005466,40
 Maria Bello,1967-4-18,1967-04-18,"Norristown, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0004742,54
 Eva Mendes,1974-3-5,1974-03-05,"Miami, Florida, USA",,,,https://www.imdb.com//name/nm0578949,47
 Emily Blunt,1983-2-23,1983-02-23,"Roehampton, London, England, UK",,,,https://www.imdb.com//name/nm1289434,38
 Rose Byrne,1979-7-24,1979-07-24,"Balmain, Sydney, New South Wales, Australia",,,,https://www.imdb.com//name/nm0126284,42
 Ashley Judd,1968-4-19,1968-04-19,"Granada Hills, California, USA",,,,https://www.imdb.com//name/nm0000171,53
